evolution$generation,cost_bridge1,cost_bridge2,cost_bridge3,cost_bridge4,proba_recover,proba_infection,infection_distance,max_infection_ratio,max_size,evolution$samples
5415,100.0,22.13551632985879,6.574060030101453,100.0,0.01,1.0,100.0,0.854,9.0,1
5415,98.51134875466099,71.83103466880925,39.83408357834957,76.30011180278225,0.01,0.5666379905238377,8.01706529461942,0.64,145.0,1
5415,72.27887026455801,100.0,65.03631319342604,1.0,0.01,0.01,32.89938286791511,0.45,163.0,1
5415,1.0,72.76797064667454,100.0,1.0,0.01,0.01,30.04612485871071,0.314,9.0,1
5415,32.150178790168994,65.94960741694749,85.79708270632143,7.577498826966332,0.01,0.01,52.01189533915044,0.274,45.0,1
5415,100.0,90.64476480478778,100.0,10.770804238543954,0.01,0.5450698408203106,6.719719190265816,0.562,137.0,1
5415,100.0,100.0,100.0,1.0,0.01,0.1212112143693478,19.23946396510649,0.582,108.0,1
5415,97.10265302401179,100.0,1.0,50.492273605572784,0.01,0.9610590929566957,9.904639244358552,0.76,123.0,1
5415,63.46200480221727,64.38664318485766,88.8854567579564,82.40303358001898,0.01,0.027240738051153887,43.649060192135195,0.268,35.0,1
5415,63.39340973983368,38.33581461045443,32.78519391298953,56.041392642254465,0.016741220191235452,0.644227031746833,39.5507925621,0.472,6.0,1
5415,43.51354202414011,53.14440370249587,100.0,1.0,0.01,0.5332736015467815,48.039476520321,0.682,43.0,1
5415,100.0,100.0,100.0,1.0,0.025976441630751475,0.06954547340273844,58.44622357096088,0.528,5.0,1
5415,5.800109862575546,73.09442585461399,75.72731610615867,12.195699024637548,0.01,0.6029723992552706,32.993731365751195,0.424,15.0,1
5415,94.68567591857139,21.593584133072312,74.30667358010788,81.5964430547022,0.01,0.05262440469410246,0.5,0.074,26.0,1
5415,27.465574000834582,73.40749446394038,42.65506308046025,84.76702018004315,0.01001313404195767,0.2631124327574945,21.26511087108632,0.516,42.0,1
5415,90.16994584882764,80.49276734958137,60.50211980126093,24.565882981613665,0.01,0.4840375240218585,22.834378695236285,0.67,94.0,1
5415,96.1661524579425,67.47687450693103,75.87515723216727,32.1060633633564,0.01,0.01,37.13073119972833,0.486,151.0,1
5415,81.30746626121287,85.25149306592765,69.54238994925706,20.714419321633898,0.01,0.13728771431207187,28.961341977992916,0.524,74.0,1
5415,60.20150082529132,22.166951472300237,100.0,26.513108948934857,0.01,0.21574032091213716,27.175648741694328,0.58,63.0,1
5415,58.57243251884175,42.16037955310623,88.57417964396701,100.0,0.01,0.033246135674396216,43.053752446131696,0.318,40.0,1
5415,100.0,36.29076058912537,75.45268489615783,28.340176270397595,0.01,0.01,23.04295822607614,0.43,123.0,1
5415,77.3995445626544,89.7653219415996,50.83419454397375,24.622725000438226,0.010328283796899455,0.6153174318365082,64.65253299897822,0.788,31.0,1
5415,100.0,85.12705452184528,76.09220011671022,1.0,0.01,0.01,60.97815208432236,0.336,55.0,1
5415,69.22622159227748,34.52650049298074,60.464419421625486,6.2798631381525905,0.022757544344327082,0.01,67.07490846055363,0.15,29.0,1
5415,39.25432409988787,81.80446422266638,100.0,100.0,0.01,0.2717703691349381,53.760984858389556,0.684,13.0,1
5415,74.90991984137098,74.11683736681731,87.59412429709046,28.084840975963086,0.01,0.05080532006219815,27.58396413176102,0.672,152.0,1
5415,99.1743265325542,100.0,62.38637664157576,20.0098199592697,0.013682182122629172,0.01,41.239059416831516,0.242,83.0,1
5415,45.027993117833994,36.33336547269195,100.0,7.732035288129333,0.01,0.01,66.56121853555149,0.49,24.0,1
5415,83.62945943864496,100.0,55.65875206047476,66.08985129541846,0.01,0.1424639184657667,21.429766680071616,0.606,97.0,1
5415,100.0,53.86359318168596,69.8814706059212,1.0,0.01,1.0,100.0,0.906,20.0,1
5415,93.76644484301356,100.0,47.8460252567668,52.93738147050434,0.010046465878397836,0.6160150084729488,24.667807673521164,0.648,110.0,1
5415,100.0,74.01871879288485,83.732282441929,11.068325579029255,0.01,0.9168086650934076,83.70697594266952,0.924,10.0,1
5415,44.52406651023313,58.048994409243306,96.56375030102893,1.0,0.01,0.502913448734587,9.308217361997745,0.666,117.0,1
5415,83.68458226268565,21.329353639145967,63.921271211943775,6.509862617554065,0.01,0.19103045399449756,18.18849822128692,0.032,11.0,1
5415,100.0,35.10189495870539,68.16186127105871,53.99670872494868,0.01,0.01,27.814572574744048,0.346,99.0,1
5415,100.0,74.04107690950838,74.31557980068514,1.0,0.01,0.01,37.15621149509929,0.452,130.0,1
